Place,mentioned in
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0037.pta001.pta-grc1:l160
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0037.pta001.pta-grc1:l168
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0037.pta001.pta-grc1:l178
https://pleiades.stoa.org/places/668190,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l56
https://pleiades.stoa.org/places/668332,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l28
https://pleiades.stoa.org/places/678060,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta003.pta-grc1:l6
https://pleiades.stoa.org/places/678084,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta003.pta-grc1:l40
https://pleiades.stoa.org/places/678106,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:l40
https://pleiades.stoa.org/places/678109,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta004.pta-grc1:l5
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta003.pta-grc1:l9
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta003.pta-grc1:l15
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta003.pta-grc1:l17
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta003.pta-grc1:l35
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta003.pta-grc1:l36
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta003.pta-grc1:l39
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta003.pta-grc1:l42
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta014.pta-grc1:l7
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0037.pta001.pta-grc1:l125
https://pleiades.stoa.org/places/678220,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta003.pta-grc1:l34
https://pleiades.stoa.org/places/678267,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta003.pta-grc1:l37
https://pleiades.stoa.org/places/678299,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta004.pta-grc1:l3
https://pleiades.stoa.org/places/678299,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta014.pta-grc1:l2
https://pleiades.stoa.org/places/678299,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta025.pta-grc1:l2
https://pleiades.stoa.org/places/678299,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta004.pta-grc1:l4
https://pleiades.stoa.org/places/678369,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta007.pta-grc1:l14
https://pleiades.stoa.org/places/678369,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta007.pta-grc1:l16
