Edition,Reference,Reference in Index
LXX,Dn:4:15-Dn:4:16,https://pta.bbaw.de/biblical-reference/Dn:4:15-Dn:4:16
LXX,Dn:4:17,https://pta.bbaw.de/biblical-reference/Dn:4:17
LXX,Dn:4:18,https://pta.bbaw.de/biblical-reference/Dn:4:18
LXX,Dn:4:19,https://pta.bbaw.de/biblical-reference/Dn:4:19
LXX,Dn:4:2,https://pta.bbaw.de/biblical-reference/Dn:4:2
LXX,Dn:4:20,https://pta.bbaw.de/biblical-reference/Dn:4:20
LXX,Dn:4:20-Dn:4:22,https://pta.bbaw.de/biblical-reference/Dn:4:20-Dn:4:22
LXX,Dn:4:22,https://pta.bbaw.de/biblical-reference/Dn:4:22
LXX,Dn:4:23-Dn:4:24,https://pta.bbaw.de/biblical-reference/Dn:4:23-Dn:4:24
LXX,Dn:4:24,https://pta.bbaw.de/biblical-reference/Dn:4:24
LXX,Dn:4:25,https://pta.bbaw.de/biblical-reference/Dn:4:25
LXX,Dn:4:26,https://pta.bbaw.de/biblical-reference/Dn:4:26
LXX,Dn:4:27,https://pta.bbaw.de/biblical-reference/Dn:4:27
LXX,Dn:4:29-Dn:4:30,https://pta.bbaw.de/biblical-reference/Dn:4:29-Dn:4:30
LXX,Dn:4:3,https://pta.bbaw.de/biblical-reference/Dn:4:3
LXX,Dn:4:31,https://pta.bbaw.de/biblical-reference/Dn:4:31
LXX,Dn:4:31-Dn:4:32,https://pta.bbaw.de/biblical-reference/Dn:4:31-Dn:4:32
LXX,Dn:4:33,https://pta.bbaw.de/biblical-reference/Dn:4:33
LXX,Dn:4:34,https://pta.bbaw.de/biblical-reference/Dn:4:34
LXX,Dn:4:35,https://pta.bbaw.de/biblical-reference/Dn:4:35
LXX,Dn:4:36,https://pta.bbaw.de/biblical-reference/Dn:4:36
LXX,Dn:4:37,https://pta.bbaw.de/biblical-reference/Dn:4:37
LXX,Dn:4:4,https://pta.bbaw.de/biblical-reference/Dn:4:4
LXX,Dn:4:5,https://pta.bbaw.de/biblical-reference/Dn:4:5
LXX,Dn:4:7-Dn:4:8,https://pta.bbaw.de/biblical-reference/Dn:4:7-Dn:4:8
LXX,Dn:4:8,https://pta.bbaw.de/biblical-reference/Dn:4:8
LXX,Dn:4:9,https://pta.bbaw.de/biblical-reference/Dn:4:9
LXX,Dn:4:9-Dn:4:10,https://pta.bbaw.de/biblical-reference/Dn:4:9-Dn:4:10
LXX,Dn:5:1,https://pta.bbaw.de/biblical-reference/Dn:5:1
LXX,Dn:5:1-Dn:5:2,https://pta.bbaw.de/biblical-reference/Dn:5:1-Dn:5:2
LXX,Dn:5:10,https://pta.bbaw.de/biblical-reference/Dn:5:10
LXX,Dn:5:11,https://pta.bbaw.de/biblical-reference/Dn:5:11
LXX,Dn:5:12,https://pta.bbaw.de/biblical-reference/Dn:5:12
LXX,Dn:5:13,https://pta.bbaw.de/biblical-reference/Dn:5:13
LXX,Dn:5:14,https://pta.bbaw.de/biblical-reference/Dn:5:14
