Quotation-URL,Edition,Reference
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta034.pta-grc1:b15,LXX,Bar:3:34
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta034.pta-grc1:b16,LXX,Bar:3:35
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta009.pta-grc1:b120,LXX,Bar:3:36
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta009.pta-grc1:b121,LXX,Bar:3:36-Bar:3:38
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta009.pta-grc1:b122,LXX,Bar:3:36-Bar:3:38
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta020.pta-grc1:b8,LXX,Bar:3:36-Bar:3:38
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta020.pta-grc1:b92,LXX,Bar:3:38
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta027.pta-grc1:b12,LXX,Bar:4:30
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta020.pta-grc1:b41,LXX,Dn:10:11-Dn:10:13
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b198,LXX,Dn:10:16
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta057.pta-grc1:b68,LXX,Dn:11:30
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta025.pta-grc1:b71,LXX,Dn:12:9
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b201,LXX,Dn:14:12-Dn:14:14
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b202,LXX,Dn:14:15-Dn:14:19
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b199,LXX,Dn:14:4-Dn:14:6
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b200,LXX,Dn:14:7-Dn:14:8
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b17,LXX,Dn:1:1
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b35,LXX,Dn:1:10
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b37,LXX,Dn:1:12
